accuracy,balanced_accuracy,precision,recall,f1,roc_auc,true_negative_count,false_positive_count,false_negative_count,true_positive_count,false_positive_rate,false_negative_rate,dataset_id,feature_set,feature_count,train_mode,model,fold,threshold,fixed_train_rows,candidate_train_rows_x,test_rows,test_normal_rows,test_fault_rows,train_groups,test_groups,candidate_train_rows_y,group_overlap_count
0.5454545454545454,0.5,0.0,0.0,0.0,0.5,6,0,5,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,4,0.5,55,60,11,6,5,1|2|3|4|5|6|7|8|9|11|12|14|15|16|17|19|21|23|24|25|26|27|28|29|30|31,10|13|18|20|22,60,0
0.5454545454545454,0.5,0.0,0.0,0.0,0.5,6,0,5,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,4,0.6,55,60,11,6,5,1|2|3|4|5|6|7|8|9|11|12|14|15|16|17|19|21|23|24|25|26|27|28|29|30|31,10|13|18|20|22,60,0
0.5333333333333333,0.5,0.0,0.0,0.0,0.5,8,0,7,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,5,0.5,51,52,15,8,7,1|2|3|4|5|7|8|9|10|12|13|14|17|18|19|20|21|22|24|25|26|29,6|11|15|16|23|27|28|30|31,52,0
0.5333333333333333,0.5,0.0,0.0,0.0,0.5,8,0,7,0,0.0,1.0,fault_with_unknown34,expanded154,154,candidate_normal_train,dummy_most_frequent,5,0.6,51,52,15,8,7,1|2|3|4|5|7|8|9|10|12|13|14|17|18|19|20|21|22|24|25|26|29,6|11|15|16|23|27|28|30|31,52,0
0.7692307692307693,0.7619047619047619,0.8,0.6666666666666666,0.7272727272727273,0.8333333333333334,6,1,2,4,0.14285714285714285,0.3333333333333333,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,1,0.5,53,58,13,7,6,1|2|3|4|6|7|10|11|12|13|14|15|16|18|19|20|21|22|23|26|27|28|29|30|31,5|8|9|17|24|25,58,0
0.7692307692307693,0.7619047619047619,0.8,0.6666666666666666,0.7272727272727273,0.8333333333333334,6,1,2,4,0.14285714285714285,0.3333333333333333,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,1,0.6,53,58,13,7,6,1|2|3|4|6|7|10|11|12|13|14|15|16|18|19|20|21|22|23|26|27|28|29|30|31,5|8|9|17|24|25,58,0
0.75,0.7571428571428571,0.6666666666666666,0.8,0.7272727272727273,0.8,5,2,1,4,0.2857142857142857,0.2,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,2,0.5,54,62,12,7,5,1|3|4|5|6|8|9|10|11|13|14|15|16|17|18|20|21|22|23|24|25|26|27|28|29|30|31,2|7|12|19,62,0
0.75,0.7571428571428571,0.6666666666666666,0.8,0.7272727272727273,0.8,5,2,1,4,0.2857142857142857,0.2,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,2,0.6,54,62,12,7,5,1|3|4|5|6|8|9|10|11|13|14|15|16|17|18|20|21|22|23|24|25|26|27|28|29|30|31,2|7|12|19,62,0
0.6666666666666666,0.6696428571428572,0.7142857142857143,0.625,0.6666666666666666,0.7857142857142857,5,2,3,5,0.2857142857142857,0.375,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,3,0.5,51,56,15,7,8,2|5|6|7|8|9|10|11|12|13|15|16|17|18|19|20|22|23|24|25|27|28|30|31,1|3|4|14|21|26|29,56,0
0.6666666666666666,0.6696428571428572,0.7142857142857143,0.625,0.6666666666666666,0.7857142857142857,5,2,3,5,0.2857142857142857,0.375,fault_with_unknown34,expanded154,154,candidate_normal_train,logistic_balanced,3,0.6,51,56,15,7,8,2|5|6|7|8|9|10|11|12|13|15|16|17|18|19|20|22|23|24|25|27|28|30|31,1|3|4|14|21|26|29,56,0
