evaluation_scope,feature_set,model,threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
M1_to_M2,common13,dummy_most_frequent,0.6,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
M1_to_M2,common13,extra_trees_depth3,0.4,51,30,21,0.65,0.5,1.0,0.6666666666666666,0.7,9,21,0,21
M1_to_M2,common13,extra_trees_depth3,0.5,51,30,21,0.7023809523809523,0.7058823529411765,0.5714285714285714,0.631578947368421,0.16666666666666666,25,5,9,12
M1_to_M2,common13,extra_trees_depth3,0.6,51,30,21,0.5238095238095238,1.0,0.047619047619047616,0.09090909090909091,0.0,30,0,20,1
M1_to_M2,common13,extra_trees_depth5,0.4,51,30,21,0.7095238095238094,0.5555555555555556,0.9523809523809523,0.7017543859649122,0.5333333333333333,14,16,1,20
M1_to_M2,common13,extra_trees_depth5,0.5,51,30,21,0.6547619047619048,0.6666666666666666,0.47619047619047616,0.5555555555555556,0.16666666666666666,25,5,11,10
M1_to_M2,common13,extra_trees_depth5,0.6,51,30,21,0.5547619047619048,0.75,0.14285714285714285,0.24,0.03333333333333333,29,1,18,3
M1_to_M2,common13,hist_gradient_boosting,0.4,51,30,21,0.7976190476190477,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.16666666666666666,25,5,5,16
M1_to_M2,common13,hist_gradient_boosting,0.5,51,30,21,0.7380952380952381,1.0,0.47619047619047616,0.6451612903225806,0.0,30,0,11,10
M1_to_M2,common13,hist_gradient_boosting,0.6,51,30,21,0.7380952380952381,1.0,0.47619047619047616,0.6451612903225806,0.0,30,0,11,10
M1_to_M2,common13,lightgbm_depth3,0.4,51,30,21,0.7904761904761906,0.7894736842105263,0.7142857142857143,0.75,0.13333333333333333,26,4,6,15
M1_to_M2,common13,lightgbm_depth3,0.5,51,30,21,0.8071428571428572,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.1,27,3,6,15
M1_to_M2,common13,lightgbm_depth3,0.6,51,30,21,0.7928571428571429,0.9285714285714286,0.6190476190476191,0.7428571428571429,0.03333333333333333,29,1,8,13
M1_to_M2,common13,logistic_balanced,0.4,51,30,21,0.5571428571428572,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.6,12,18,6,15
M1_to_M2,common13,logistic_balanced,0.5,51,30,21,0.5571428571428572,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.6,12,18,6,15
M1_to_M2,common13,logistic_balanced,0.6,51,30,21,0.5571428571428572,0.45454545454545453,0.7142857142857143,0.5555555555555556,0.6,12,18,6,15
M1_to_M2,common13,random_forest_depth3,0.4,51,30,21,0.7119047619047618,0.5806451612903226,0.8571428571428571,0.6923076923076923,0.43333333333333335,17,13,3,18
M1_to_M2,common13,random_forest_depth3,0.5,51,30,21,0.6857142857142857,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.2,24,6,9,12
M1_to_M2,common13,random_forest_depth3,0.6,51,30,21,0.6976190476190476,0.9,0.42857142857142855,0.5806451612903226,0.03333333333333333,29,1,12,9
M1_to_M2,common13,random_forest_depth5,0.4,51,30,21,0.7047619047619047,0.5862068965517241,0.8095238095238095,0.68,0.4,18,12,4,17
M1_to_M2,common13,random_forest_depth5,0.5,51,30,21,0.6857142857142857,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.2,24,6,9,12
M1_to_M2,common13,random_forest_depth5,0.6,51,30,21,0.6976190476190476,0.9,0.42857142857142855,0.5806451612903226,0.03333333333333333,29,1,12,9
M1_to_M2,common13,xgboost_depth3,0.4,51,30,21,0.7738095238095238,0.75,0.7142857142857143,0.7317073170731707,0.16666666666666666,25,5,6,15
M1_to_M2,common13,xgboost_depth3,0.5,51,30,21,0.7595238095238095,0.8125,0.6190476190476191,0.7027027027027027,0.1,27,3,8,13
M1_to_M2,common13,xgboost_depth3,0.6,51,30,21,0.7523809523809524,0.8571428571428571,0.5714285714285714,0.6857142857142857,0.06666666666666667,28,2,9,12
M1_to_M2,standard_common,dummy_most_frequent,0.4,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
M1_to_M2,standard_common,dummy_most_frequent,0.5,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
M1_to_M2,standard_common,dummy_most_frequent,0.6,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
M1_to_M2,standard_common,extra_trees_depth3,0.4,51,30,21,0.5,0.4117647058823529,1.0,0.5833333333333334,1.0,0,30,0,21
M1_to_M2,standard_common,extra_trees_depth3,0.5,51,30,21,0.45952380952380956,0.38235294117647056,0.6190476190476191,0.4727272727272727,0.7,9,21,8,13
M1_to_M2,standard_common,extra_trees_depth3,0.6,51,30,21,0.4904761904761905,0.3333333333333333,0.047619047619047616,0.08333333333333333,0.06666666666666667,28,2,20,1
M1_to_M2,standard_common,extra_trees_depth5,0.4,51,30,21,0.4857142857142857,0.40425531914893614,0.9047619047619048,0.5588235294117647,0.9333333333333333,2,28,2,19
M1_to_M2,standard_common,extra_trees_depth5,0.5,51,30,21,0.44047619047619047,0.34782608695652173,0.38095238095238093,0.36363636363636365,0.5,15,15,13,8
M1_to_M2,standard_common,extra_trees_depth5,0.6,51,30,21,0.4571428571428572,0.2,0.047619047619047616,0.07692307692307693,0.13333333333333333,26,4,20,1
M1_to_M2,standard_common,hist_gradient_boosting,0.4,51,30,21,0.44999999999999996,0.35,0.3333333333333333,0.34146341463414637,0.43333333333333335,17,13,14,7
M1_to_M2,standard_common,hist_gradient_boosting,0.5,51,30,21,0.4619047619047619,0.3333333333333333,0.19047619047619047,0.24242424242424243,0.26666666666666666,22,8,17,4
M1_to_M2,standard_common,hist_gradient_boosting,0.6,51,30,21,0.4380952380952381,0.2727272727272727,0.14285714285714285,0.1875,0.26666666666666666,22,8,18,3
M1_to_M2,standard_common,lightgbm_depth3,0.4,51,30,21,0.6190476190476191,0.5454545454545454,0.5714285714285714,0.5581395348837209,0.3333333333333333,20,10,9,12
M1_to_M2,standard_common,lightgbm_depth3,0.5,51,30,21,0.5,0.4117647058823529,0.3333333333333333,0.3684210526315789,0.3333333333333333,20,10,14,7
M1_to_M2,standard_common,lightgbm_depth3,0.6,51,30,21,0.5,0.4117647058823529,0.3333333333333333,0.3684210526315789,0.3333333333333333,20,10,14,7
M1_to_M2,standard_common,logistic_balanced,0.4,51,30,21,0.5,0.4117647058823529,1.0,0.5833333333333334,1.0,0,30,0,21
M1_to_M2,standard_common,logistic_balanced,0.5,51,30,21,0.5,0.4117647058823529,1.0,0.5833333333333334,1.0,0,30,0,21
M1_to_M2,standard_common,logistic_balanced,0.6,51,30,21,0.5,0.4117647058823529,1.0,0.5833333333333334,1.0,0,30,0,21
M1_to_M2,standard_common,random_forest_depth3,0.4,51,30,21,0.4833333333333333,0.4,0.6666666666666666,0.5,0.7,9,21,7,14
M1_to_M2,standard_common,random_forest_depth3,0.5,51,30,21,0.44285714285714284,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.4,18,12,15,6
M1_to_M2,standard_common,random_forest_depth3,0.6,51,30,21,0.4547619047619048,0.3,0.14285714285714285,0.1935483870967742,0.23333333333333334,23,7,18,3
M1_to_M2,standard_common,random_forest_depth5,0.4,51,30,21,0.4809523809523809,0.4,0.7619047619047619,0.5245901639344263,0.8,6,24,5,16
M1_to_M2,standard_common,random_forest_depth5,0.5,51,30,21,0.45714285714285713,0.36363636363636365,0.38095238095238093,0.37209302325581395,0.4666666666666667,16,14,13,8
M1_to_M2,standard_common,random_forest_depth5,0.6,51,30,21,0.4547619047619048,0.3,0.14285714285714285,0.1935483870967742,0.23333333333333334,23,7,18,3
M1_to_M2,standard_common,xgboost_depth3,0.4,51,30,21,0.44285714285714284,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.4,18,12,15,6
M1_to_M2,standard_common,xgboost_depth3,0.5,51,30,21,0.38809523809523805,0.21428571428571427,0.14285714285714285,0.17142857142857143,0.36666666666666664,19,11,18,3
M1_to_M2,standard_common,xgboost_depth3,0.6,51,30,21,0.40476190476190477,0.23076923076923078,0.14285714285714285,0.17647058823529413,0.3333333333333333,20,10,18,3
M1_to_M2,standard_common_plus_system,dummy_most_frequent,0.4,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
M1_to_M2,standard_common_plus_system,dummy_most_frequent,0.5,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
M1_to_M2,standard_common_plus_system,dummy_most_frequent,0.6,51,30,21,0.5,0.0,0.0,0.0,0.0,30,0,21,0
M1_to_M2,standard_common_plus_system,extra_trees_depth3,0.4,51,30,21,0.4928571428571428,0.40816326530612246,0.9523809523809523,0.5714285714285714,0.9666666666666667,1,29,1,20
M1_to_M2,standard_common_plus_system,extra_trees_depth3,0.5,51,30,21,0.5333333333333333,0.4666666666666667,0.3333333333333333,0.3888888888888889,0.26666666666666666,22,8,14,7
M1_to_M2,standard_common_plus_system,extra_trees_depth3,0.6,51,30,21,0.5071428571428571,0.5,0.047619047619047616,0.08695652173913043,0.03333333333333333,29,1,20,1
M1_to_M2,standard_common_plus_system,extra_trees_depth5,0.4,51,30,21,0.44999999999999996,0.3783783783783784,0.6666666666666666,0.4827586206896552,0.7666666666666667,7,23,7,14
M1_to_M2,standard_common_plus_system,extra_trees_depth5,0.5,51,30,21,0.4380952380952381,0.2727272727272727,0.14285714285714285,0.1875,0.26666666666666666,22,8,18,3
M1_to_M2,standard_common_plus_system,extra_trees_depth5,0.6,51,30,21,0.5071428571428571,0.5,0.047619047619047616,0.08695652173913043,0.03333333333333333,29,1,20,1
M1_to_M2,standard_common_plus_system,hist_gradient_boosting,0.4,51,30,21,0.44999999999999996,0.35,0.3333333333333333,0.34146341463414637,0.43333333333333335,17,13,14,7
M1_to_M2,standard_common_plus_system,hist_gradient_boosting,0.5,51,30,21,0.4619047619047619,0.3333333333333333,0.19047619047619047,0.24242424242424243,0.26666666666666666,22,8,17,4
M1_to_M2,standard_common_plus_system,hist_gradient_boosting,0.6,51,30,21,0.4380952380952381,0.2727272727272727,0.14285714285714285,0.1875,0.26666666666666666,22,8,18,3
